10/19/14		22	195	19	18	Holt	
10/26/14		98	169	104	304	Holt	
11/2/14	fast Sunday	30	170		106	Holt	
11/9/14	primary program		171			Holt	
11/16/14		6	172	41	58	Holt	
11/23/14		302	173	93	293	Holt	
11/30/14		52	174	60	59	Holt	
12/7/14	fast Sunday	201	175	207	209	Holt	
12/14/14		212	176	210	202	Holt	
12/21/14	christmas program		177			Holt	
12/28/14		305	178	89	220	Holt	
5/4/13	fast Sunday	139	196		239	Provo YSA 123rd	
5/11/13		278	117	piano solo	243	Provo YSA 123rd	
5/19/13		64	181	247	237	Provo YSA 123rd	
5/26/13		280	169	Choir number	85	Provo YSA 123rd	
6/2/13	fast Sunday	138	185		263	Provo YSA 123rd	
6/9/13		44	182	292	156	Provo YSA 123rd	
6/16/13		78	172	272	81	Provo YSA 123rd	
6/23/13		41	195	83	274	Provo YSA 123rd	
6/20/13		26	184	Choir number	260	Provo YSA 123rd	
7/7/13	fast Sunday	69	194		153	Provo YSA 123rd	
7/14/13		125	180	Spanish choir	260	Provo YSA 123rd	
7/21/13		35	177	Choir number	30	Provo YSA 123rd	
7/28/13		131	191	Special number	225	Provo YSA 123rd	
8/4/13	fast Sunday	139	190		112	Provo YSA 123rd	
8/11/13		129	174	piano solo	133	Provo YSA 123rd	
8/18/13		75	171		163	Provo YSA 123rd	
8/25/13		119	196		100	Provo YSA 123rd	
9/1/13	fast Sunday	138	195		219	Provo YSA 123rd	
9/8/13		72	170	142	220	Provo YSA 123rd	
9/15/13		58	189	135	258	Provo YSA 123rd	
9/22/13		146	172	Choir number- Beautiful Savior	163	Provo YSA 123rd	
9/29/13	fast Sunday	247	188		103	Provo YSA 123rd	
10/13/13		147	187	Choir number- On This Day of Joy and Gladness	229	Provo YSA 123rd	
10/20/13		28	182	86	125	Provo YSA 123rd	
10/27/13		265	178	musical number	137	Provo YSA 123rd	
11/3/13	fast Sunday	139	193		135	Provo YSA 123rd	
11/10/13	Stake Conference					Provo YSA 123rd	
11/17/13		93	175	92	104	Provo YSA 123rd	
11/24/13		91	195	Choir number (95)	94	Provo YSA 123rd	
12/1/13	fast Sunday	201	185		202	Provo YSA 123rd	
12/8/13		201	194	205	203	Provo YSA 123rd	
12/15/13		209	169	Choir numbers	212	Provo YSA 123rd	
1/5/14	fast Sunday	102	190		156	Provo YSA 123rd	
1/12/14		140	177	134	137	Provo YSA 123rd	
1/19/14		83	170		81	Provo YSA 123rd	
1/26/14		85	191	musical number	136	Provo YSA 123rd	
2/2/14	fast Sunday	138	189		274	Provo YSA 123rd	
2/9/14		69	187	141	219	Provo YSA 123rd	
2/16/14		78	181	Choir number- Come, Come Unto Me	221	Provo YSA 123rd	
2/23/14		148	175		225	Provo YSA 123rd	
3/9/14	fast Sunday	119	192		19	Provo YSA 123rd	
3/16/14		75	188	musical number	220	Provo YSA 123rd	
3/23/14		84	172	musical number	144	Provo YSA 123rd	
3/30/14		139	174	musical number	21	Provo YSA 123rd	
4/13/14		146	195		199	Provo YSA 123rd	
4/20/14	easter	198	171	Choir number- Beautiful Savior	200	Provo YSA 123rd	
4/27/14		116	185	72	86	Provo YSA 123rd	
5/4/14	fast Sunday	138	169		153	Provo YSA 123rd	
5/11/14		59	296	294	106	Provo YSA 123rd	
5/18/14		68	181	287	258	Provo YSA 123rd	
5/25/14		52	189	289	247	Provo YSA 123rd	
1/3/10	Fast Sunday	280	186		136	Draper 5th	
1/10/10		258	184	259	228	Draper 5th	high council
1/17/10		272	183	58	232	Draper 5th	
1/24/10		230	179	musical number	147	Draper 5th	
1/31/10		146	184	ward choir	5	Draper 5th	
2/7/10	Stake Conference					Draper 5th	
2/14/10	Fast Sunday	226	172		60	Draper 5th	
2/21/10		106	180	musical number	163	Draper 5th	
2/28/10		107	182	ward choir	27	Draper 5th	
3/7/10	Fast Sunday	59	195		68	Draper 5th	
3/14/10	High Council	140	193		109	Draper 5th	
3/21/10		3	194	ward choir	267	Draper 5th	high council
3/28/10		96	196	274	136	Draper 5th	
4/11/10	Fast Sunday	264	177		122	Draper 5th	
4/18/10		52	175	251	247	Draper 5th	high council
4/25/10		251	191	ward choir	241	Draper 5th	
5/2/10	Fast Sunday	252	183		251	Rosecreek 4th	
5/9/10	Mother's Day	250	185	Primary	239	Rosecreek 4th	
5/16/10		246	172		223	Rosecreek 4th	high council
5/23/10		270	194	Priesthood Choir	249	Rosecreek 4th	
5/30/10		243	173	musical number	165	Rosecreek 4th	
6/6/10	Fast Sunday	139	174		158	Rosecreek 4th	
6/13/10	Stake Conference					Rosecreek 4th	
6/20/10	Father's Day	85	175	Primary	156	Rosecreek 4th	high council
6/27/10		272	176	musical number	153	Rosecreek 4th	
7/4/10	Fast Sunday	60	177		338	Rosecreek 4th	
7/11/10		237	178	58	304	Rosecreek 4th	
7/18/10		21	179		227	Rosecreek 4th	high council
7/25/10		254	180		10	Rosecreek 4th	
8/1/10	Fast Sunday	7	181		140	Rosecreek 4th	
8/8/10		217	187	227	226	Rosecreek 4th	
8/15/10		284	190		3	Rosecreek 4th	high council
8/22/10		229	191	musical number	256	Rosecreek 4th	
8/29/10		2	192	252	5	Rosecreek 4th	
9/5/10	Fast Sunday	1	193		6	Rosecreek 4th	
9/12/10		247	194	250	300	Rosecreek 4th	
9/19/10		14	196	274	58	Rosecreek 4th	high council
9/26/10		52	193	musical number	163	Rosecreek 4th	
10/10/10	Fast Sunday	124	181		152	Rosecreek 4th	
10/17/11		19	182	250	22	Rosecreek 4th	
10/24/10		26	183	5	166	Rosecreek 4th	
10/31/10		27	194	2	159	Rosecreek 4th	
11/7/10	Fast Sunday	94	185		219	Rosecreek 4th	
11/14/10	primary program	93	186		136	Rosecreek 4th	
11/21/10		95	187		66	Rosecreek 4th	high council
11/28/10		92	188	musical number	76	Rosecreek 4th	
12/5/10	Fast Sunday	203	190		204	Rosecreek 4th	
12/12/10		213	191		206	Rosecreek 4th	high council
12/19/10		208	192	Ward Choir	209	Rosecreek 4th	
12/26/10		217	194		147	Rosecreek 4th	
1/2/11	Fast Sunday	252	183		251	Rosecreek 4th	
7/27/14		62	182		156	Draper 6th	
7/20/14		59	195	musical number	255	Draper 6th	
7/13/14		34	174	30	78	Draper 6th	
7/6/14	Fast Sunday	60	171		78	Draper 6th	
6/29/14		227	172	339	338	Draper 6th	
6/22/14		259	181	youth choir	36	Draper 6th	
6/15/14	Father's Day	171	194	musical number	5	Draper 6th	
6/8/14		116	172	musical number	96	Draper 6th	
6/1/14	Fast Sunday	136	192		157	Draper 6th	
